id_revision,vehiculo,tipo_vehiculo,presion_bar,estado_presion
REV-0483,VW Tiguan 2024,Deportivo,2.34,Normal
REV-0484,Nissan Frontier 2023,Sedán,1.93,Normal
REV-0485,Toyota Hilux 2024,Lujo,1.75,Baja
REV-0486,Toyota Corolla 2023,Compacto,3.44,Alta
REV-0487,Hyundai Tucson 2024,Camioneta,3.27,Alta
REV-0488,Honda CR-V 2023,Minivan,1.67,Baja
REV-0489,Hyundai Tucson 2024,Minivan,1.66,Baja
REV-0490,VW Tiguan 2024,Compacto,2.57,Normal
REV-0491,Chevrolet Aveo 2022,Pickup,2.35,Normal
REV-0492,Toyota Corolla 2023,SUV,1.90,Baja
REV-0493,Toyota Hilux 2024,Lujo,2.55,Normal
REV-0494,BMW Serie 3 2024,Lujo,1.29,Muy baja
REV-0495,Toyota Hilux 2024,Pickup,1.86,Baja
REV-0496,Mazda CX-5 2023,Camioneta,1.31,Muy baja
REV-0497,Toyota Hilux 2024,Compacto,3.59,Peligrosa
REV-0498,Chevrolet Silverado 2024,Deportivo,1.46,Muy baja
REV-0499,Chevrolet Aveo 2022,Lujo,2.00,Normal
REV-0500,Nissan Frontier 2023,Sedán,1.69,Baja
REV-0501,Chevrolet Silverado 2024,Lujo,2.56,Normal
REV-0502,Honda Civic 2022,Sedán,3.05,Alta
REV-0503,VW Tiguan 2024,Compacto,1.84,Baja
REV-0504,Toyota RAV4 2024,Minivan,1.77,Baja
REV-0505,Mazda 3 2024,Compacto,2.82,Normal
REV-0506,Mercedes C300 2023,Compacto,2.80,Normal
REV-0507,BMW Serie 3 2024,Camioneta,3.34,Alta
REV-0508,BMW Serie 3 2024,Lujo,1.77,Baja
REV-0509,Toyota Corolla 2023,Pickup,3.19,Alta
REV-0510,Chevrolet Aveo 2022,Minivan,2.09,Normal
REV-0512,Honda CR-V 2023,Compacto,3.13,Alta
REV-0513,Subaru Outback 2024,Deportivo,1.80,Baja
REV-0514,Honda CR-V 2023,SUV,3.08,Alta
REV-0515,Chevrolet Silverado 2024,Camioneta,1.81,Baja
REV-0516,Toyota Hilux 2024,Sedán,1.96,Normal
REV-0517,Jeep Wrangler 2022,Minivan,3.06,Alta
REV-0518,Toyota Hilux 2024,Lujo,2.44,Normal
REV-0520,Chevrolet Silverado 2024,Deportivo,3.67,Peligrosa
REV-0521,Chevrolet Aveo 2022,Compacto,2.79,Normal
REV-0522,Nissan Sentra 2024,Compacto,1.92,Normal
REV-0523,Chevrolet Silverado 2024,Deportivo,1.35,Muy baja
REV-0525,Honda Civic 2022,SUV,2.36,Normal
REV-0526,Chevrolet Silverado 2024,Pickup,3.06,Alta
REV-0527,Toyota Corolla 2023,Pickup,2.24,Normal
REV-0528,Toyota Hilux 2024,Lujo,1.42,Muy baja
REV-0529,Toyota RAV4 2024,Deportivo,3.02,Alta
REV-0531,Mazda CX-5 2023,SUV,2.33,Normal
REV-0532,Toyota RAV4 2024,Compacto,2.45,Normal
REV-0533,Honda Civic 2022,Minivan,1.99,Normal
REV-0534,Suzuki Vitara 2023,Deportivo,2.91,Alta
REV-0535,Chevrolet Silverado 2024,SUV,1.50,Muy baja
REV-0536,Chevrolet Silverado 2024,Camioneta,2.33,Normal
REV-0537,KIA Sportage 2023,Lujo,3.52,Alta
REV-0538,Jeep Wrangler 2022,Compacto,1.84,Baja
REV-0539,Honda Civic 2022,Lujo,3.21,Alta
REV-0540,Ford Escape 2023,Minivan,3.60,Peligrosa
REV-0541,VW Tiguan 2024,Deportivo,1.64,Baja
REV-0542,Hyundai Tucson 2024,Compacto,1.87,Baja
REV-0543,Ford Escape 2023,Lujo,1.74,Baja
REV-0544,Toyota RAV4 2024,Camioneta,1.68,Baja
REV-0545,KIA Sportage 2023,Pickup,2.08,Normal
REV-0546,Chevrolet Aveo 2022,Pickup,2.31,Normal
REV-0547,Audi A4 2024,Pickup,2.17,Normal
REV-0548,BMW Serie 3 2024,SUV,3.03,Alta
REV-0549,Honda Civic 2022,Minivan,2.99,Alta
REV-0550,Honda Civic 2022,Camioneta,2.08,Normal
REV-0551,Mazda 3 2024,Minivan,2.25,Normal
REV-0552,Toyota RAV4 2024,Compacto,1.30,Muy baja
REV-0553,Chevrolet Aveo 2022,Camioneta,2.39,Normal
REV-0554,Jeep Wrangler 2022,Deportivo,2.70,Normal
REV-0556,Jeep Wrangler 2022,Minivan,3.11,Alta
REV-0557,Jeep Wrangler 2022,Camioneta,2.70,Normal
REV-0558,Audi A4 2024,Sedán,2.37,Normal
REV-0559,Nissan Frontier 2023,Deportivo,2.52,Normal
REV-0560,Jeep Wrangler 2022,Lujo,2.68,Normal
REV-0561,Suzuki Vitara 2023,Compacto,2.74,Normal
REV-0562,Chevrolet Aveo 2022,Lujo,1.79,Baja
REV-0563,Chevrolet Aveo 2022,Sedán,1.43,Muy baja
REV-0564,Chevrolet Aveo 2022,Deportivo,1.87,Baja
REV-0565,Nissan Sentra 2024,Lujo,2.89,Alta
REV-0566,Mercedes C300 2023,Sedán,1.57,Muy baja
REV-0567,Audi A4 2024,SUV,3.04,Alta
REV-0568,Nissan Frontier 2023,SUV,2.99,Alta
REV-0569,Honda CR-V 2023,Camioneta,1.51,Muy baja
REV-0570,Honda Civic 2022,Pickup,2.20,Normal
REV-0572,Nissan Frontier 2023,Sedán,2.55,Normal
REV-0573,Honda Civic 2022,Minivan,2.66,Normal
REV-0574,Mazda 3 2024,Deportivo,3.01,Alta
REV-0575,Hyundai Tucson 2024,Compacto,2.81,Normal
REV-0576,Subaru Outback 2024,Minivan,1.72,Baja
REV-0577,Toyota Hilux 2024,SUV,3.77,Peligrosa
REV-0578,VW Tiguan 2024,Deportivo,1.28,Muy baja
REV-0579,Subaru Outback 2024,Pickup,2.54,Normal
REV-0580,Chevrolet Aveo 2022,Deportivo,1.68,Baja
REV-0581,Ford Ranger 2023,Compacto,2.29,Normal
REV-0582,Ford Escape 2023,Lujo,1.96,Normal
REV-0583,Honda CR-V 2023,Sedán,2.96,Alta
REV-0585,VW Jetta 2023,Camioneta,1.38,Muy baja
REV-0586,Mazda 3 2024,SUV,3.37,Alta
REV-0587,Jeep Wrangler 2022,Pickup,2.20,Normal
REV-0588,Hyundai Tucson 2024,Compacto,1.82,Baja
REV-0589,Ford Ranger 2023,SUV,3.45,Alta
REV-0590,Chevrolet Silverado 2024,Minivan,1.88,Baja
REV-0592,Mazda 3 2024,Sedán,3.19,Alta
REV-0593,Toyota Corolla 2023,Pickup,1.54,Muy baja
REV-0594,RAM 1500 2023,Deportivo,2.00,Normal
REV-0595,Toyota Corolla 2023,Pickup,3.57,Alta
REV-0596,Ford Ranger 2023,Deportivo,1.38,Muy baja
REV-0597,RAM 1500 2023,Sedán,1.56,Muy baja
REV-0598,Honda Civic 2022,Deportivo,2.20,Normal
REV-0599,Subaru Outback 2024,Pickup,1.32,Muy baja
REV-0600,Hyundai Tucson 2024,Minivan,3.18,Alta
REV-0601,Ford Ranger 2023,Pickup,2.36,Normal
REV-0602,Ford Escape 2023,Pickup,1.53,Muy baja
REV-0603,Chevrolet Aveo 2022,Deportivo,3.01,Alta
REV-0604,BMW Serie 3 2024,Minivan,3.54,Alta
REV-0605,Honda Civic 2022,SUV,3.24,Alta
REV-0606,Toyota Corolla 2023,Pickup,3.05,Alta
REV-0607,Hyundai Tucson 2024,Deportivo,1.43,Muy baja
REV-0608,KIA Sportage 2023,SUV,3.45,Alta
REV-0609,Nissan Frontier 2023,Minivan,2.09,Normal
REV-0610,Ford Ranger 2023,Pickup,3.64,Peligrosa
REV-0611,Toyota Hilux 2024,Sedán,2.69,Normal
REV-0614,VW Jetta 2023,Camioneta,1.55,Muy baja
REV-0615,Honda Civic 2022,SUV,2.00,Normal
REV-0618,KIA Sportage 2023,Minivan,3.68,Peligrosa
REV-0619,Audi A4 2024,Deportivo,3.27,Alta
REV-0620,Mazda CX-5 2023,Camioneta,3.75,Peligrosa
REV-0621,RAM 1500 2023,Minivan,1.76,Baja
REV-0622,Mercedes C300 2023,SUV,1.76,Baja
REV-0623,Nissan Frontier 2023,Camioneta,1.45,Muy baja
REV-0625,Jeep Wrangler 2022,Minivan,1.89,Baja
REV-0626,Chevrolet Silverado 2024,Deportivo,1.85,Baja
REV-0627,Jeep Wrangler 2022,Sedán,1.75,Baja
REV-0628,Nissan Frontier 2023,Camioneta,3.42,Alta
REV-0629,Mazda 3 2024,Deportivo,2.70,Normal
REV-0630,Mazda CX-5 2023,Sedán,3.19,Alta
REV-0631,VW Jetta 2023,Sedán,2.53,Normal
REV-0632,Chevrolet Aveo 2022,Lujo,2.67,Normal
REV-0633,Toyota Hilux 2024,Pickup,3.69,Peligrosa
REV-0634,Chevrolet Silverado 2024,SUV,3.60,Peligrosa
REV-0635,Toyota Hilux 2024,Minivan,1.32,Muy baja
REV-0636,Honda CR-V 2023,SUV,2.01,Normal
REV-0637,VW Jetta 2023,Pickup,3.36,Alta
REV-0638,BMW Serie 3 2024,Camioneta,2.03,Normal
REV-0640,Toyota Hilux 2024,Lujo,2.10,Normal
REV-0641,Chevrolet Silverado 2024,Deportivo,3.66,Peligrosa
REV-0642,Honda Civic 2022,SUV,3.03,Alta
REV-0643,Hyundai Tucson 2024,Pickup,3.49,Alta
REV-0644,Ford Ranger 2023,Sedán,3.00,Alta
REV-0645,VW Tiguan 2024,Pickup,2.07,Normal
REV-0646,Chevrolet Silverado 2024,SUV,3.39,Alta
REV-0647,Nissan Sentra 2024,Compacto,1.79,Baja
REV-0648,RAM 1500 2023,Sedán,2.58,Normal
REV-0649,Honda CR-V 2023,Lujo,1.73,Baja
REV-0650,Ford Ranger 2023,Sedán,1.33,Muy baja
REV-0651,Subaru Outback 2024,Deportivo,3.16,Alta
REV-0652,Honda CR-V 2023,Pickup,3.45,Alta
REV-0653,Ford Ranger 2023,Lujo,1.82,Baja
REV-0654,Honda Civic 2022,Pickup,3.12,Alta
REV-0655,Toyota Corolla 2023,Sedán,2.86,Normal
REV-0656,VW Tiguan 2024,Sedán,3.55,Alta
REV-0657,Jeep Wrangler 2022,Sedán,2.05,Normal
REV-0658,Subaru Outback 2024,Camioneta,3.05,Alta
REV-0659,Chevrolet Aveo 2022,Camioneta,2.04,Normal
REV-0660,Ford Ranger 2023,Camioneta,1.45,Muy baja
REV-0661,VW Jetta 2023,Camioneta,2.26,Normal
REV-0662,Nissan Frontier 2023,Sedán,2.32,Normal
REV-0664,Nissan Frontier 2023,Camioneta,3.69,Peligrosa
REV-0665,VW Tiguan 2024,SUV,2.81,Normal
REV-0666,Toyota RAV4 2024,SUV,2.31,Normal
REV-0668,Subaru Outback 2024,Camioneta,2.70,Normal
REV-0670,Ford Ranger 2023,Deportivo,1.33,Muy baja
REV-0671,Toyota Corolla 2023,Minivan,3.59,Peligrosa
REV-0672,BMW Serie 3 2024,Compacto,2.94,Alta
REV-0673,Nissan Frontier 2023,Camioneta,1.66,Baja
REV-0674,Mercedes C300 2023,SUV,2.88,Alta
REV-0675,Nissan Sentra 2024,Minivan,3.47,Alta
REV-0676,RAM 1500 2023,Camioneta,3.14,Alta
REV-0677,Audi A4 2024,Sedán,2.78,Normal
REV-0678,Nissan Frontier 2023,Camioneta,3.26,Alta
REV-0679,Honda CR-V 2023,Pickup,2.95,Alta
REV-0680,Ford Ranger 2023,Minivan,3.77,Peligrosa
REV-0681,VW Tiguan 2024,Minivan,2.98,Alta
REV-0682,Honda CR-V 2023,Lujo,1.35,Muy baja
REV-0683,Ford Escape 2023,Compacto,1.61,Baja
REV-0684,Toyota Hilux 2024,Pickup,2.46,Normal
REV-0685,Audi A4 2024,Camioneta,3.18,Alta
REV-0686,Audi A4 2024,Deportivo,2.39,Normal
REV-0689,Suzuki Vitara 2023,Deportivo,1.97,Normal
REV-0690,Jeep Wrangler 2022,Minivan,2.52,Normal
REV-0691,VW Jetta 2023,Lujo,3.10,Alta
REV-0692,VW Jetta 2023,Minivan,3.41,Alta
REV-0693,Ford Ranger 2023,Camioneta,2.80,Normal
REV-0696,Chevrolet Aveo 2022,Deportivo,3.01,Alta
REV-0697,Mercedes C300 2023,Compacto,3.17,Alta
REV-0700,Ford Escape 2023,Deportivo,1.68,Baja
REV-0701,Toyota RAV4 2024,Sedán,1.71,Baja
REV-0702,Toyota Hilux 2024,Deportivo,1.47,Muy baja
REV-0703,Jeep Wrangler 2022,Sedán,3.23,Alta
REV-0706,KIA Sportage 2023,Camioneta,1.78,Baja
REV-0707,KIA Sportage 2023,Compacto,3.36,Alta
REV-0709,Ford Escape 2023,Minivan,1.76,Baja
REV-0710,Mazda CX-5 2023,SUV,3.12,Alta
REV-0711,Honda Civic 2022,Deportivo,1.40,Muy baja
REV-0712,Audi A4 2024,Minivan,1.83,Baja
REV-0714,Mazda 3 2024,Sedán,2.90,Alta
REV-0715,VW Jetta 2023,Compacto,2.59,Normal
REV-0716,Honda Civic 2022,Minivan,2.47,Normal
REV-0717,Hyundai Tucson 2024,Deportivo,2.60,Normal
REV-0718,Honda Civic 2022,Camioneta,1.26,Muy baja
REV-0719,Mercedes C300 2023,SUV,3.71,Peligrosa
REV-0720,VW Tiguan 2024,SUV,3.37,Alta
REV-0721,RAM 1500 2023,Camioneta,2.96,Alta
REV-0722,Toyota Corolla 2023,Lujo,3.71,Peligrosa
REV-0723,VW Jetta 2023,SUV,2.64,Normal
REV-0724,Jeep Wrangler 2022,Pickup,3.60,Peligrosa
REV-0725,Suzuki Vitara 2023,Compacto,3.32,Alta
REV-0727,Honda CR-V 2023,SUV,2.10,Normal
REV-0728,Honda Civic 2022,Minivan,2.76,Normal
REV-0729,KIA Sportage 2023,Compacto,3.55,Alta
REV-0730,Toyota Hilux 2024,Minivan,2.47,Normal
REV-0731,BMW Serie 3 2024,Pickup,3.11,Alta
REV-0732,Ford Escape 2023,Camioneta,1.96,Normal
REV-0736,Audi A4 2024,Minivan,2.18,Normal
REV-0737,Toyota Corolla 2023,Minivan,1.43,Muy baja
REV-0738,Suzuki Vitara 2023,Compacto,2.39,Normal
REV-0739,Mazda 3 2024,Deportivo,1.44,Muy baja
REV-0740,Chevrolet Silverado 2024,Camioneta,2.73,Normal
REV-0741,Mazda CX-5 2023,Compacto,2.29,Normal
REV-0742,Hyundai Tucson 2024,Pickup,3.27,Alta
REV-0743,Mazda CX-5 2023,Camioneta,2.19,Normal
REV-0746,Chevrolet Silverado 2024,Sedán,3.26,Alta
REV-0747,Hyundai Tucson 2024,Minivan,2.78,Normal
REV-0748,KIA Sportage 2023,Pickup,2.24,Normal
REV-0749,Toyota RAV4 2024,Compacto,2.03,Normal
REV-0751,RAM 1500 2023,Lujo,2.66,Normal
REV-0752,VW Jetta 2023,Sedán,3.26,Alta
REV-0753,Mercedes C300 2023,Pickup,2.44,Normal
REV-0754,VW Tiguan 2024,Deportivo,2.32,Normal
REV-0755,Toyota RAV4 2024,Pickup,3.14,Alta
REV-0756,Suzuki Vitara 2023,Lujo,2.52,Normal
REV-0758,Honda Civic 2022,Minivan,1.37,Muy baja
REV-0760,Chevrolet Silverado 2024,Compacto,3.38,Alta
REV-0761,Ford Ranger 2023,Camioneta,2.99,Alta
REV-0762,VW Jetta 2023,Deportivo,1.81,Baja
REV-0763,Mazda 3 2024,SUV,2.05,Normal
REV-0764,BMW Serie 3 2024,SUV,1.81,Baja
REV-0765,Mazda 3 2024,Minivan,2.90,Alta
REV-0766,VW Tiguan 2024,SUV,2.73,Normal
REV-0767,Ford Escape 2023,Minivan,2.12,Normal
REV-0768,Suzuki Vitara 2023,Minivan,1.39,Muy baja
REV-0769,Toyota Hilux 2024,Minivan,1.73,Baja
REV-0770,Toyota Hilux 2024,SUV,3.22,Alta
REV-0771,Ford Escape 2023,SUV,2.37,Normal
REV-0772,Ford Ranger 2023,Camioneta,2.79,Normal
REV-0773,KIA Sportage 2023,Sedán,1.42,Muy baja
REV-0774,Chevrolet Aveo 2022,SUV,3.71,Peligrosa
REV-0775,Nissan Sentra 2024,Lujo,3.65,Peligrosa
REV-0776,Audi A4 2024,Sedán,3.55,Alta
REV-0777,KIA Sportage 2023,SUV,2.70,Normal
REV-0778,VW Jetta 2023,Lujo,3.17,Alta
REV-0779,RAM 1500 2023,Compacto,2.35,Normal
REV-0780,VW Tiguan 2024,Pickup,1.79,Baja
REV-0781,Ford Ranger 2023,Minivan,3.27,Alta
REV-0782,Nissan Frontier 2023,Deportivo,3.42,Alta
REV-0783,Toyota RAV4 2024,Camioneta,3.72,Peligrosa
REV-0784,KIA Sportage 2023,Camioneta,2.03,Normal
REV-0785,Subaru Outback 2024,Camioneta,1.91,Baja
REV-0786,Nissan Frontier 2023,SUV,1.30,Muy baja
REV-0787,BMW Serie 3 2024,Sedán,1.95,Normal
REV-0788,Mazda CX-5 2023,Sedán,2.43,Normal
REV-0789,Toyota RAV4 2024,Pickup,3.18,Alta
REV-0790,Honda CR-V 2023,Minivan,1.81,Baja
REV-0791,VW Tiguan 2024,Lujo,1.93,Normal
REV-0792,Toyota Corolla 2023,SUV,3.07,Alta
REV-0793,Mazda CX-5 2023,Deportivo,1.63,Baja
REV-0794,Mazda CX-5 2023,SUV,1.64,Baja
REV-0795,KIA Sportage 2023,Compacto,3.16,Alta
REV-0796,Chevrolet Aveo 2022,Minivan,2.69,Normal
REV-0797,Honda CR-V 2023,Camioneta,1.45,Muy baja
REV-0798,Chevrolet Aveo 2022,Compacto,1.54,Muy baja
REV-0799,Chevrolet Silverado 2024,Compacto,3.25,Alta
REV-0800,Jeep Wrangler 2022,Deportivo,3.26,Alta
REV-0802,Chevrolet Silverado 2024,Lujo,1.57,Muy baja
REV-0803,Ford Escape 2023,Compacto,3.75,Peligrosa
REV-0804,Mazda CX-5 2023,Lujo,1.47,Muy baja
REV-0806,Subaru Outback 2024,SUV,2.29,Normal
REV-0807,Chevrolet Aveo 2022,Deportivo,2.90,Alta
REV-0808,Ford Ranger 2023,Sedán,2.87,Normal
REV-0809,Suzuki Vitara 2023,Pickup,1.68,Baja
REV-0810,KIA Sportage 2023,Pickup,2.74,Normal
REV-0811,Ford Escape 2023,SUV,2.34,Normal
REV-0812,VW Tiguan 2024,Sedán,2.73,Normal
REV-0814,Toyota Corolla 2023,Deportivo,1.66,Baja
REV-0815,Toyota RAV4 2024,Sedán,1.98,Normal
REV-0816,Nissan Sentra 2024,SUV,3.67,Peligrosa
REV-0817,Jeep Wrangler 2022,Minivan,2.09,Normal
REV-0818,RAM 1500 2023,Camioneta,3.60,Peligrosa
REV-0819,Jeep Wrangler 2022,Lujo,1.51,Muy baja
REV-0820,Chevrolet Aveo 2022,Compacto,3.40,Alta
REV-0821,Audi A4 2024,Minivan,1.58,Muy baja
REV-0822,VW Jetta 2023,Sedán,2.59,Normal
REV-0823,Hyundai Tucson 2024,Camioneta,2.48,Normal
REV-0824,Nissan Sentra 2024,Camioneta,1.96,Normal
REV-0825,Mazda CX-5 2023,Sedán,1.87,Baja
REV-0826,Audi A4 2024,Sedán,2.38,Normal
REV-0827,Ford Ranger 2023,Deportivo,1.94,Normal
REV-0829,Suzuki Vitara 2023,Minivan,1.60,Baja
REV-0830,Ford Escape 2023,Deportivo,1.78,Baja
REV-0831,Mazda 3 2024,Sedán,1.32,Muy baja
REV-0832,Honda CR-V 2023,Deportivo,3.72,Peligrosa
REV-0833,RAM 1500 2023,SUV,2.03,Normal
REV-0834,Toyota Hilux 2024,Pickup,1.86,Baja
REV-0835,BMW Serie 3 2024,Sedán,1.41,Muy baja
REV-0836,Suzuki Vitara 2023,Pickup,2.75,Normal
REV-0837,Hyundai Tucson 2024,Lujo,2.60,Normal
REV-0838,Chevrolet Silverado 2024,SUV,3.65,Peligrosa
REV-0839,Subaru Outback 2024,Camioneta,3.28,Alta
REV-0841,Suzuki Vitara 2023,Pickup,1.93,Normal
REV-0842,Toyota Corolla 2023,Lujo,3.44,Alta
REV-0844,Ford Ranger 2023,Pickup,2.17,Normal
REV-0845,KIA Sportage 2023,Sedán,3.08,Alta
REV-0846,Nissan Sentra 2024,SUV,1.77,Baja
REV-0849,Mazda CX-5 2023,Deportivo,1.43,Muy baja
REV-0850,Toyota Hilux 2024,Lujo,2.55,Normal
REV-0851,RAM 1500 2023,Camioneta,2.02,Normal
REV-0852,VW Tiguan 2024,Pickup,1.34,Muy baja
REV-0853,Toyota RAV4 2024,Camioneta,3.67,Peligrosa
REV-0854,KIA Sportage 2023,Camioneta,2.02,Normal
REV-0855,Nissan Sentra 2024,Minivan,3.66,Peligrosa
REV-0856,Mercedes C300 2023,Compacto,3.35,Alta
REV-0858,Ford Ranger 2023,Camioneta,2.91,Alta
REV-0859,Audi A4 2024,Pickup,3.04,Alta
REV-0861,KIA Sportage 2023,SUV,2.86,Normal
REV-0862,KIA Sportage 2023,Compacto,3.28,Alta
REV-0863,Ford Escape 2023,Sedán,2.30,Normal
REV-0865,VW Jetta 2023,Lujo,3.26,Alta
REV-0866,Ford Escape 2023,Lujo,2.76,Normal
REV-0867,Honda Civic 2022,Compacto,1.41,Muy baja
REV-0869,VW Tiguan 2024,Deportivo,2.04,Normal
REV-0870,Chevrolet Aveo 2022,Camioneta,2.82,Normal
REV-0871,Toyota RAV4 2024,Sedán,2.91,Alta
REV-0872,Ford Ranger 2023,Camioneta,3.42,Alta
REV-0873,Toyota Hilux 2024,Compacto,2.36,Normal
REV-0874,Subaru Outback 2024,Deportivo,3.16,Alta
REV-0875,Toyota Hilux 2024,Pickup,3.41,Alta
REV-0876,Ford Escape 2023,Camioneta,1.70,Baja
REV-0877,Nissan Sentra 2024,Deportivo,1.35,Muy baja
REV-0878,BMW Serie 3 2024,Camioneta,1.62,Baja
REV-0879,Audi A4 2024,SUV,1.74,Baja
REV-0880,Mazda CX-5 2023,Deportivo,2.75,Normal
REV-0881,Subaru Outback 2024,Deportivo,1.91,Baja
REV-0882,Mercedes C300 2023,Sedán,2.58,Normal
REV-0883,Jeep Wrangler 2022,SUV,2.24,Normal
REV-0884,Ford Escape 2023,Minivan,2.70,Normal
REV-0885,Nissan Frontier 2023,Camioneta,2.51,Normal
REV-0886,Nissan Frontier 2023,Sedán,2.52,Normal
REV-0887,Ford Escape 2023,Compacto,2.91,Alta
REV-0888,VW Tiguan 2024,Sedán,3.45,Alta
REV-0889,KIA Sportage 2023,Pickup,3.15,Alta
REV-0890,Subaru Outback 2024,Pickup,2.22,Normal
REV-0891,Mazda CX-5 2023,Pickup,2.53,Normal
REV-0892,Toyota Corolla 2023,Camioneta,2.00,Normal
REV-0893,Mazda 3 2024,Deportivo,1.23,Muy baja
REV-0894,Ford Escape 2023,Deportivo,3.47,Alta
REV-0895,Mazda 3 2024,Pickup,1.36,Muy baja
REV-0897,Jeep Wrangler 2022,Deportivo,1.32,Muy baja
REV-0898,BMW Serie 3 2024,Minivan,2.10,Normal
REV-0899,Toyota RAV4 2024,SUV,1.56,Muy baja
REV-0900,Hyundai Tucson 2024,SUV,1.35,Muy baja
REV-0901,Nissan Sentra 2024,Minivan,1.49,Muy baja
REV-0902,Toyota Hilux 2024,SUV,3.02,Alta
REV-0903,KIA Sportage 2023,Compacto,1.76,Baja
REV-0904,Chevrolet Silverado 2024,Compacto,2.28,Normal
REV-0905,Mercedes C300 2023,Pickup,1.20,Muy baja
REV-0906,VW Jetta 2023,Minivan,2.45,Normal
REV-0907,Audi A4 2024,Deportivo,1.26,Muy baja
REV-0908,Subaru Outback 2024,SUV,1.23,Muy baja
REV-0910,Mercedes C300 2023,Compacto,1.82,Baja
REV-0911,Audi A4 2024,Camioneta,3.72,Peligrosa
REV-0912,Toyota Hilux 2024,Deportivo,3.26,Alta
REV-0913,Nissan Sentra 2024,Compacto,1.52,Muy baja
REV-0914,Suzuki Vitara 2023,Deportivo,2.16,Normal
REV-0915,Nissan Sentra 2024,Minivan,1.71,Baja
REV-0916,Chevrolet Aveo 2022,Sedán,3.36,Alta
REV-0917,Toyota Hilux 2024,Pickup,1.34,Muy baja
REV-0918,BMW Serie 3 2024,SUV,2.34,Normal
REV-0919,RAM 1500 2023,Pickup,1.81,Baja
REV-0920,Nissan Sentra 2024,Deportivo,3.17,Alta
REV-0921,Ford Ranger 2023,Minivan,3.03,Alta
REV-0922,Toyota Corolla 2023,Compacto,2.15,Normal
REV-0923,Honda Civic 2022,Compacto,1.88,Baja
REV-0924,Jeep Wrangler 2022,Deportivo,3.31,Alta
REV-0926,KIA Sportage 2023,Minivan,1.71,Baja
REV-0927,Ford Ranger 2023,Camioneta,3.69,Peligrosa
REV-0928,Toyota RAV4 2024,Pickup,2.91,Alta
REV-0929,Hyundai Tucson 2024,Deportivo,2.01,Normal
REV-0930,Ford Ranger 2023,Camioneta,1.72,Baja
REV-0931,Toyota Hilux 2024,Compacto,2.73,Normal
REV-0932,Toyota Corolla 2023,Lujo,1.22,Muy baja
REV-0933,Subaru Outback 2024,Minivan,3.21,Alta
REV-0934,Nissan Frontier 2023,SUV,1.79,Baja
REV-0935,Nissan Sentra 2024,SUV,2.07,Normal
REV-0936,Ford Ranger 2023,Lujo,1.86,Baja
REV-0937,Suzuki Vitara 2023,SUV,2.04,Normal
REV-0938,Mazda CX-5 2023,SUV,3.34,Alta
REV-0939,Mazda CX-5 2023,Lujo,3.61,Peligrosa
REV-0940,Nissan Frontier 2023,Sedán,2.11,Normal
REV-0941,Chevrolet Aveo 2022,Minivan,3.14,Alta
REV-0942,Suzuki Vitara 2023,Deportivo,1.26,Muy baja
REV-0943,Ford Ranger 2023,Lujo,2.83,Normal
REV-0944,Nissan Sentra 2024,Pickup,2.56,Normal
REV-0945,KIA Sportage 2023,Camioneta,3.30,Alta
REV-0946,Toyota Hilux 2024,Lujo,1.44,Muy baja
REV-0947,Honda CR-V 2023,Lujo,1.81,Baja
REV-0948,Mazda 3 2024,SUV,3.68,Peligrosa
REV-0949,Jeep Wrangler 2022,Deportivo,1.38,Muy baja
REV-0950,Toyota Corolla 2023,Minivan,1.54,Muy baja
REV-0951,Hyundai Tucson 2024,Pickup,3.40,Alta
REV-0952,Honda Civic 2022,Sedán,2.38,Normal
REV-0953,Audi A4 2024,Lujo,1.33,Muy baja
REV-0954,Toyota Corolla 2023,Pickup,3.21,Alta
REV-0955,Ford Escape 2023,Pickup,2.98,Alta
REV-0956,Toyota Hilux 2024,Camioneta,2.03,Normal
REV-0957,Chevrolet Silverado 2024,Compacto,3.03,Alta
REV-0958,Hyundai Tucson 2024,Minivan,1.49,Muy baja
REV-0959,Subaru Outback 2024,SUV,2.58,Normal
REV-0960,RAM 1500 2023,Minivan,3.46,Alta
REV-0961,Mazda 3 2024,SUV,3.36,Alta
REV-0962,Jeep Wrangler 2022,Lujo,1.53,Muy baja
REV-0963,Ford Escape 2023,Minivan,1.54,Muy baja
REV-0964,Nissan Sentra 2024,Sedán,2.36,Normal
REV-0965,BMW Serie 3 2024,Compacto,2.66,Normal
REV-0966,Chevrolet Silverado 2024,Deportivo,3.30,Alta
REV-0967,Ford Escape 2023,Sedán,3.71,Peligrosa
REV-0968,Nissan Sentra 2024,SUV,1.21,Muy baja
REV-0969,Ford Ranger 2023,Minivan,1.29,Muy baja
REV-0970,Audi A4 2024,Pickup,2.04,Normal
REV-0971,RAM 1500 2023,Minivan,1.74,Baja
REV-0972,Ford Ranger 2023,SUV,2.00,Normal
REV-0973,Nissan Sentra 2024,Lujo,1.71,Baja
REV-0974,Mercedes C300 2023,Deportivo,2.39,Normal
REV-0975,Ford Escape 2023,Lujo,1.98,Normal
REV-0976,Chevrolet Silverado 2024,Compacto,2.53,Normal
REV-0977,Honda Civic 2022,SUV,1.32,Muy baja
REV-0978,RAM 1500 2023,Minivan,1.30,Muy baja
REV-0979,Toyota RAV4 2024,Lujo,2.73,Normal
REV-0980,RAM 1500 2023,Minivan,2.17,Normal
